"imcp_total_desest.date","imcp_total_desest.values","imcp_nacional_desest.values","imcp_nacional_bienes_desest.values","imcp_nacional_servicios_desest.values","imcp_importado_desest.values"
2020-01-01,117.561992378448,116.797597229953,111.001017091164,122.518391257668,124.910695600478
2019-12-01,116.475262407473,115.899499245298,110.256574333943,121.626813104854,122.759123985584
2019-11-01,117.259966316457,116.446836532522,110.873622823177,121.758762833987,123.171985008594
2019-10-01,117.494337910777,115.892955384142,110.414911217108,121.005075917652,129.81207642255
2019-09-01,117.898753882164,116.414872860313,111.449933494069,120.767217974267,130.800955656387
2019-08-01,117.717226342321,116.973901191928,112.425792552991,121.523885837031,125.275762622644
2019-07-01,118.012662774942,117.128932501639,113.069704949487,121.520555898537,125.301437105611
2019-06-01,117.848703835383,117.831000392572,113.703924342077,121.336291293501,121.93732106135
2019-05-01,116.64017133347,116.079032118905,111.506844386579,121.111111978502,121.538506632518
2019-04-01,116.645267750747,115.046917809912,109.722635024693,120.883789949401,124.316457670838
2019-03-01,115.608294173817,115.867333757241,111.448570246675,121.29470133818,117.826272372145
2019-02-01,117.690811228525,116.930550835019,112.577686202798,121.614756450581,122.570691447684
2019-01-01,117.005234484567,116.410824188979,111.201644861218,121.718561012426,122.778703780187
2018-12-01,116.499022012094,116.375464493514,111.497866556117,121.162730175187,119.148922538435
2018-11-01,116.60221441466,116.091454694972,111.355229708306,120.713319584823,120.570067483699
2018-10-01,116.168607736747,115.514123094742,110.472200044126,120.423437648372,119.377310663057
2018-09-01,117.205537030482,116.664876140083,113.096730123693,119.591734175754,122.751674538289
2018-08-01,117.430094018211,116.663407896187,112.953006171348,120.548104713346,124.286458433102
2018-07-01,117.07586851023,116.945136587977,113.500483422655,120.488410927445,119.342133458233
2018-06-01,116.506411773391,116.21714391523,113.048824940767,118.979644978559,121.637339136492
2018-05-01,116.689071440539,116.39426266027,113.213987431473,119.617141859775,120.131668508608
2018-04-01,115.548504730319,114.402495442402,110.186763302698,119.311018598421,120.275052214187
2018-03-01,116.75230858716,116.38526421319,115.1878462389,118.377589739267,124.902009341711
2018-02-01,115.616202712749,115.196279445537,112.028694933509,118.546048633889,117.288303386218
2018-01-01,114.900510533267,114.52871530912,111.135558102942,118.057567227778,116.567580678372
2017-12-01,115.591100753873,115.0483427877,112.810424659742,117.176189351506,123.090486023076
2017-11-01,114.345013115552,114.163662126535,111.699545806102,116.341697909314,115.585797935494
2017-10-01,114.117553644904,113.83198487896,111.722292042085,115.694133937864,115.918287751575
2017-09-01,113.848403563383,113.398960504592,111.285225897448,115.365219492772,116.81007941379
2017-08-01,113.85399163043,113.426710085418,110.91458801888,115.976844786289,117.329340252391
2017-07-01,113.601665960439,113.160893228081,110.356552759236,115.949477700241,119.891467040727
2017-06-01,113.635261633896,112.931546398327,109.787502345023,115.812942553982,122.957366953479
2017-05-01,113.285877158321,112.553435232713,109.37915617488,115.745943815834,119.237984718732
2017-04-01,113.119463450038,112.40342407496,108.860040423796,115.927474713158,116.590667613585
2017-03-01,111.952306755404,111.661189989332,108.763201479033,115.622091105288,116.244102655283
2017-02-01,113.009983564397,112.623519470534,109.725087849519,115.594420179241,115.291599413054
2017-01-01,113.051537584601,113.328856166496,110.969337649167,115.649728035627,108.973651406936
2016-12-01,113.740135832873,114.24621846579,112.86992753123,115.584592716656,110.945970669202
2016-11-01,111.31710296885,111.692902875444,109.343246451234,113.807646345091,106.798682874408
2016-10-01,111.503861221543,111.820385086973,109.312481818007,114.112998460706,108.84307530253
2016-09-01,110.650571936316,110.601443243073,107.653271611994,113.737794232925,110.626933632365
2016-08-01,110.421924779291,110.375974660875,107.458548936385,113.456122743946,109.549238828846
2016-07-01,109.697907678061,109.940715798412,106.636903943115,113.310758803448,110.292432357731
2016-06-01,109.616333377537,109.782425929197,106.08923799336,113.125804244537,110.261265049271
2016-05-01,108.859014314158,108.920227007308,105.277172899369,112.522799101083,108.811817168822
2016-04-01,107.600989277165,107.088118875281,103.117600942919,111.843012152169,108.313544497474
2016-03-01,108.8776699905,108.654045591027,105.460712698057,111.818236436742,112.672966548536
2016-02-01,108.911716384853,108.49595361074,105.104177229491,111.968984376768,111.562404419783
2016-01-01,108.205321538409,107.923006929558,104.946814243433,110.860731642897,110.198026334164
2015-12-01,107.586853336933,107.114221219914,103.526939644463,110.747056541779,112.556228000016
2015-11-01,107.494924136436,106.451870364564,102.606679276318,110.167349538912,116.539070717986
2015-10-01,108.136297392989,107.038121969604,104.229061297644,109.94106132988,116.308813848469
2015-09-01,106.753713152746,106.136810877604,103.212086550231,109.158138076362,109.648849146148
2015-08-01,106.67673014092,105.917183416804,103.3055947009,108.46282230969,114.514695437676
2015-07-01,104.75691031354,104.328316643331,101.342007397353,107.65227640248,110.872379363544
2015-06-01,105.141415736303,103.993151227412,100.203130673584,107.47284279403,116.216587058528
2015-05-01,104.660953309792,104.059671105956,101.662347204518,106.650619893129,111.554187298056
2015-04-01,104.48505200423,103.97380352521,102.122014289844,106.231947495703,108.178757802882
2015-03-01,104.092909490661,104.04567284977,101.68308351923,106.22506253855,104.753775699018
2015-02-01,103.665882809472,103.772308533134,102.181285876682,105.393748512777,102.918646797058
2015-01-01,103.771577464849,103.603485505789,102.525823653108,104.566193443401,105.151029469939
2014-12-01,103.033148610621,102.864094078937,102.041662365117,103.848751711601,103.699395245869
2014-11-01,103.800369259452,103.54418726448,103.199146695124,103.480996059766,105.919063051482
2014-10-01,103.46117654544,103.065635227219,102.906694758886,103.273443196942,105.24433112043
2014-09-01,102.572159423746,102.483799917572,102.275997813837,102.750930261395,101.086656925938
2014-08-01,102.445106720031,102.353856645244,102.503130306767,102.23885546358,104.255964085831
2014-07-01,102.644748646513,102.648697798591,103.24895442822,102.15667940619,104.429472351919
2014-06-01,102.722545772726,102.80309256914,103.289292623535,101.917983891705,103.85741731157
2014-05-01,102.631002898915,102.465626232235,103.454361392601,101.807250628233,105.124525784739
2014-04-01,102.476146777692,102.098609694171,102.726756625831,101.835198960756,104.452983101392
2014-03-01,101.125697089178,101.183886027129,100.123095894676,101.815202257566,101.120157708879
2014-02-01,101.041576609853,101.068922528209,100.986178491007,101.184381374526,101.127955033821
2014-01-01,100.582924220804,100.757021493924,100.709699287511,100.791159007161,99.062033997304
2013-12-01,100.768407691571,100.912081709843,100.530874493644,101.574687976488,100.192651305311
2013-11-01,100.623706488735,100.735140438485,100.369994250533,100.852528789361,97.354323079624
2013-10-01,100.680886117394,100.408399604344,100.221978602452,100.552103097444,101.308745112973
2013-09-01,99.844424007918,99.630859964161,98.465950155287,100.691089558944,101.170850925898
2013-08-01,100.147103104468,100.328169152859,100.089062579558,100.578641765886,98.892538771329
2013-07-01,100.334609695073,100.279471239692,100.424598279561,100.155512588656,101.171207771457
2013-06-01,99.326792229378,99.458167722571,99.064425095609,99.522941194093,99.917967958692
2013-05-01,99.945958555273,100.098703543748,100.040214539141,100.654698213391,99.454757468127
2013-04-01,99.361235734135,98.880464920516,99.536574609979,98.724428879993,101.810248294171
2013-03-01,99.876101602763,100.054623651992,100.470498708872,99.039911133372,99.538788611155
2013-02-01,99.726736882964,99.849148896103,100.804562985008,98.880143104682,99.083372705275
2013-01-01,99.432946402852,99.70216559702,100.509813326137,98.794753236436,97.353852430959
