"date","A001RD3A086NBEA","A001RG3A086NBEA","A006RA3A086NBEA","A006RD3A086NBEA","A007RA3A086NBEA","A007RD3A086NBEA","A008RA3A086NBEA","A008RD3A086NBEA","A009RD3A086NBEA","A011RA3A086NBEA","A011RD3A086NBEA","A020RD3A086NBEA","A021RD3A086NBEA","A024RA3A086NBEA","A024RG3A086NBEA","A027RA3A086NBEA","A027RG3A086NBEA","A133RA3A086NBEA","A133RG3A086NBEA","A134RA3A086NBEA","A134RG3A086NBEA","A135RA3A086NBEA","A135RG3A086NBEA","A136RA3A086NBEA","A136RG3A086NBEA","A137RG3A086NBEA","A190RA3A086NBEA","A190RD3A086NBEA","A191RA3A086NBEA","A191RD3A086NBEA","A191RG3A086NBEA","A194RA3A086NBEA","A194RG3A086NBEA","A2009A3A086NBEA","A2009G3A086NBEA","A253RD3A086NBEA","A255RD3A086NBEA","A262RA3A086NBEA","A262RG3A086NBEA","A264RA3A086NBEA","A264RG3A086NBEA","A265RA3A086NBEA","A265RG3A086NBEA","A266RA3A086NBEA","A266RG3A086NBEA","A325RA3A086NBEA","A325RG3A086NBEA","A326RA3A086NBEA","A326RG3A086NBEA","A334RA3A086NBEA","A334RG3A086NBEA","A341RA3A086NBEA","A341RG3A086NBEA","A349RA3A086NBEA","A349RG3A086NBEA","A353RA3A086NBEA","A353RG3A086NBEA","A354RA3A086NBEA","A354RG3A086NBEA","A356RA3A086NBEA","A356RG3A086NBEA","A362RA3A086NBEA","A362RG3A086NBEA"
1929-01-01,9.398,9.371,4.592,14.263,5.887,10.41,4.056,13.453,3.559,18.58,5.071,13.67,9.555,4.766,9.491,7.377,9.218,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.934,9.181,6.83,9.418,9.391,14.645,2.011,6.376,10.385,16.353,9.647,4.145,9.754,2.244,9.007,2.125,9.471,3.838,5.414,4.797,21.946,1.839,34.171,12.455,12.884,6.78,5.796,24.415,4.312,4.634,22.932,2.062,30.942,11.537,13.793,7.424,9.24
1930-01-01,9.054,9.01,3.127,13.939,4.575,9.985,3.38,12.826,3.369,11.509,4.962,12.376,8.147,4.861,9.117,6.664,8.866,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.466,8.829,6.249,9.073,9.028,15.341,2.014,6.361,10.066,14.629,7.96,4.243,9.354,2.372,8.505,2.241,8.902,4.13,5.272,4.341,20.924,1.516,32.461,11.784,12.305,6.726,5.645,18.39,4.133,4.034,21.852,1.537,29.389,10.678,13.178,6.704,8.886
1931-01-01,8.124,8.12,2.033,12.287,3.251,9.24,2.277,11.946,3.082,9.783,4.493,9.739,6.584,4.833,8.503,6.175,7.956,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.09,7.966,5.849,8.141,8.136,15.503,2.039,6.344,9.475,11.228,6.225,4.245,8.705,2.516,7.762,2.37,8.097,4.454,4.922,4.039,18.169,1.229,29.362,11.606,10.505,6.639,5.3,13.143,3.767,3.701,18.913,1.216,26.62,11.223,11.221,6.219,7.973
1932-01-01,7.174,7.194,0.75,9.251,2.001,8.169,1.437,10.817,2.675,5.532,3.663,8.446,5.278,4.688,7.654,5.282,7.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.405,7.074,5.095,7.188,7.209,15.152,1.979,6.322,8.451,9.68,4.879,4.153,7.8,2.648,6.678,2.491,6.943,4.744,4.32,3.469,15.862,0.881,26.66,10.623,9.046,6.319,4.838,7.772,3.188,3.037,16.407,0.776,24.131,10.32,9.637,5.323,7.053
1933-01-01,6.976,7.001,1.014,8.56,1.807,7.984,1.322,10.552,2.703,4.647,3.607,8.445,5.058,4.542,7.452,5.221,6.836,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.244,6.9,5.032,6.989,7.014,16.044,1.953,6.137,7.607,10.127,4.882,4.055,7.676,2.748,7.152,2.586,7.452,4.912,4.564,3.432,15.727,0.864,25.899,10.533,9.026,6.196,4.596,6.182,3.187,3.136,16.191,0.882,23.192,10.182,9.616,5.267,6.85
1934-01-01,7.359,7.343,1.677,9.768,2.285,8.367,1.661,10.895,2.711,6.025,4.006,9.793,5.746,4.435,7.898,5.882,7.149,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.741,7.252,5.575,7.371,7.355,18.337,2.018,6.296,6.983,11.848,5.574,3.988,8.211,2.839,8.15,2.677,8.341,5.005,5.774,3.824,17.239,1.065,27.468,11.367,9.998,6.61,4.608,7.394,3.341,3.592,17.681,1.153,24.577,10.381,10.597,5.943,7.161
1935-01-01,7.51,7.49,2.919,9.632,2.903,8.413,2.07,11.015,2.838,8.207,3.95,10.041,5.841,4.432,7.944,6.48,7.311,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,7.405,6.072,7.523,7.503,19.646,2.023,6.283,7.032,12.138,5.665,4.007,8.221,2.954,7.928,2.795,8.197,5.111,5.298,4.148,17.665,1.303,27.413,11.81,10.342,6.802,4.706,9.046,3.403,4.1,18.083,1.416,24.533,11.465,10.934,6.544,7.324
1936-01-01,7.6,7.582,3.69,9.706,3.791,8.511,2.741,11.028,2.833,10.207,4.142,10.38,6.25,4.481,8.053,7.397,7.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.896,7.497,6.854,7.615,7.597,23.271,2.086,6.248,7.219,12.43,6.081,4.075,8.389,3.111,8.417,2.949,8.652,5.323,5.818,4.792,17.667,1.631,27.409,13.215,10.344,7.236,4.798,11.583,3.481,4.72,18.092,1.831,24.544,11.699,10.927,7.482,7.408
1937-01-01,7.925,7.858,4.545,10.882,4.397,9.221,3.244,11.905,3.219,10.999,4.547,11.069,6.975,4.608,8.732,7.803,7.629,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.185,7.772,7.205,7.941,7.874,21.918,2.107,6.337,7.558,13.173,6.795,4.205,9.022,3.28,8.624,3.11,8.799,5.596,6.223,5.044,18.277,1.819,28.574,13.551,10.664,7.475,4.948,13.625,3.897,5.055,18.708,2.003,25.575,13.01,11.261,7.883,7.645
1938-01-01,7.698,7.712,3.127,9.69,3.578,9.336,2.474,11.983,3.158,11.049,4.692,10.56,6.446,4.658,8.853,7.501,7.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.09,7.663,6.967,7.714,7.728,23.7,2.156,6.587,7.762,12.19,6.09,4.277,9.121,3.456,8.57,3.281,8.705,5.859,6.342,4.883,17.685,1.511,28.654,14.016,10.16,7.553,4.969,12.167,3.917,4.697,17.942,1.573,25.646,13.727,10.594,7.574,7.477
1939-01-01,7.621,7.614,3.933,9.92,4.227,9.294,2.731,11.877,3.124,15.444,4.722,10.419,6.766,4.689,8.805,8.166,7.361,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.611,7.569,7.526,7.639,7.632,24.037,2.125,6.673,7.771,11.923,6.201,4.337,9.05,3.653,8.389,3.469,8.538,6.184,6.143,5.242,17.392,1.743,28.293,14.6,9.975,7.956,4.929,15.008,3.913,5.109,17.637,1.896,25.319,13.952,10.396,8.247,7.379
1940-01-01,7.712,7.683,5.357,10.38,5.017,9.524,3.321,12.141,3.173,17.337,4.864,11.3,7.217,4.783,9.019,8.936,7.416,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.133,7.636,8.189,7.731,7.701,25.399,2.097,6.84,7.802,12.785,6.619,4.445,9.243,3.848,8.428,3.654,8.585,6.52,6.14,5.709,17.614,2.099,28.832,15.155,10.073,8.347,4.944,16.92,4.01,5.773,17.868,2.339,25.809,14.496,10.495,9.038,7.435
1941-01-01,8.233,8.186,6.557,11.267,5.771,10.217,3.951,12.929,3.396,18.364,5.314,12.339,7.622,4.948,9.665,10.646,7.894,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.493,8.135,9.64,8.253,8.205,32.622,2.106,7.161,7.949,13.703,7.099,4.714,9.939,4.639,9.224,4.512,9.437,6.778,6.539,6.575,19.037,2.823,30.979,15.956,10.922,9.685,5.152,18.788,4.344,6.768,19.303,3.246,27.701,15.119,11.393,10.761,7.914
1942-01-01,8.887,8.867,3.651,12.286,3.445,11.217,2.475,14.308,3.789,9.543,5.708,14.913,8.73,4.992,10.827,12.726,8.533,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.51,8.807,11.46,8.909,8.889,50.147,2.275,7.698,8.117,16.688,8.223,5.266,10.999,7.562,9.818,7.744,10.059,6.948,6.934,7.188,21.163,3.512,32.35,15.882,12.734,13.545,5.356,10.553,4.746,7.13,21.466,3.864,28.92,15.812,13.316,12.873,8.555
1943-01-01,9.292,9.29,2.278,12.399,2.708,11.8,2.08,14.937,4.118,5.877,6.176,16.314,9.397,4.875,11.376,14.889,8.946,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.649,9.228,13.411,9.316,9.314,82.189,2.233,8.157,8.133,18.398,8.917,6.124,11.438,13.168,9.987,13.963,10.267,6.995,6.721,8.511,22.631,5.134,32.797,15.715,14.265,18.006,5.478,7.115,5.153,8.202,22.949,5.544,29.324,15.169,14.903,15.074,8.971
1944-01-01,9.512,9.511,2.719,12.879,3.224,12.287,2.64,15.39,4.209,5.112,6.775,18.374,9.871,4.81,12.029,15.953,9.164,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.737,9.45,14.478,9.538,9.536,93.606,2.414,8.513,8.197,21.069,9.523,7.113,11.655,19.574,9.629,21.088,9.859,6.956,7.151,9.05,23.08,5.682,32.183,16.06,15.112,20.441,5.637,7.853,5.429,8.716,23.399,6.093,28.773,15.334,15.78,16.153,9.19
1945-01-01,9.76,9.749,3.499,13.518,4.292,12.675,3.604,15.788,4.396,5.835,7.232,18.22,10.148,4.849,12.396,15.628,9.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.637,9.688,14.336,9.785,9.774,89.956,2.73,8.682,8.302,20.983,9.755,7.744,11.591,23.428,9.166,25.386,9.368,6.924,7.224,8.925,23.212,4.969,31,17.53,15.764,20.371,5.869,9.938,5.713,8.537,23.516,5.267,27.7,16.457,16.462,15.83,9.451
1946-01-01,11.023,10.981,8.403,15.037,7.64,13.917,5.207,17.371,4.924,23.46,7.849,17.608,11.315,5.101,13.423,13.615,10.645,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.548,10.909,12.672,11.047,11.005,39.938,4.032,8.728,8.619,19.915,10.99,7.843,12.724,22.662,10.23,24.53,10.462,6.945,7.904,8.973,24.763,3.968,32.706,20.256,16.908,13.759,6.937,26.689,6.304,9.147,25.084,4.604,29.288,19.155,17.624,13.77,10.669
1947-01-01,12.234,12.217,8.088,17.51,9.075,16.28,5.98,20.106,5.968,30.058,9.402,20.443,13.556,5.532,15.409,13.488,11.791,18.439,25.585,20.151,25.703,17.732,19.426,17.543,24.254,6.745,12.77,12.106,12.527,12.259,12.242,29.745,4.266,9.124,8.979,23.694,13.495,7.723,14.647,19.513,11.821,21.005,12.081,7.069,9.314,9.604,27.837,4.872,36.454,20.12,19.093,12.872,7.453,29.272,7.601,9.237,28.328,4.886,36.054,18.847,19.926,13.62,11.816
1948-01-01,12.921,12.911,10.194,18.838,9.931,17.642,6.258,21.785,6.639,35.903,10.192,21.533,14.732,5.974,16.751,14.133,12.429,20.734,27.725,22.574,27.809,21.062,21.196,19.915,26.526,7.269,12.981,12.796,13.043,12.947,12.937,30.194,4.291,9.596,9.537,25.221,14.903,7.709,15.785,16.959,12.549,18.129,12.797,7.286,10.43,9.549,29.468,4.926,38.606,19.799,20.206,12.991,7.785,33.329,8.327,9.62,29.974,4.944,38.197,19.976,21.068,14.258,12.455
1949-01-01,12.898,12.905,7.883,18.918,9.113,17.98,5.712,22.271,6.616,33.264,10.327,20.248,14.041,6.334,17.14,14.019,12.388,27.146,28.891,29.835,28.945,29.296,22.01,28.016,29.058,5.77,13.276,12.808,12.969,12.926,12.933,31.691,4.525,10.245,9.84,23.365,14.108,7.776,16.129,15.365,12.782,16.312,13.038,7.586,10.573,9.705,28.95,4.993,39.116,20.159,19.468,13.436,7.977,31.383,8.389,9.249,29.381,4.792,38.696,19.11,20.235,14.151,12.416
1950-01-01,13.059,13.028,10.981,19.635,10.828,18.38,6.233,22.733,6.699,45.375,10.582,19.717,14.915,6.675,17.521,15.369,12.495,35.215,28.89,38.487,28.947,38.238,21.995,37.217,29.252,5.489,14.052,12.931,14.096,13.087,13.055,33.38,4.608,10.962,10.179,22.589,15.26,7.914,16.391,14.338,12.801,15.122,13.058,7.966,10.562,10.165,28.943,5.473,39.561,20.471,19.311,13.777,8.155,39.311,8.563,10.223,29.363,5.67,39.137,20.164,20.059,15.512,12.522
1951-01-01,13.983,13.909,11.008,21.746,10.389,19.944,6.492,24.857,7.471,38.09,11.34,22.278,18.026,7.009,19.026,16.704,13.307,28.813,30.204,31.913,30.272,31.847,22.896,29.836,30.5,5.653,15.097,13.794,15.23,14.014,13.94,43.3,4.702,11.8,10.629,25.896,19.158,8.206,17.858,14.366,14.073,15.106,14.359,8.386,11.573,10.621,31.109,5.804,42.165,21.164,20.882,15.797,8.54,36.059,9.31,10.818,31.615,6.135,41.797,20.989,21.727,16.846,13.337
