"confianza.date","confianza.values","confianza_desest.values"
2011-04-01,37.626520746848,37.576210986536
2011-03-01,38.323262246935,38.498365680834
2011-02-01,38.441310674972,38.799261508707
2011-01-01,38.462362621981,38.072781063629
2010-12-01,38.176654187145,38.019315575821
2010-11-01,37.177350050835,38.133977330869
2010-10-01,37.408578165014,38.247485918034
2010-09-01,38.33026169163,37.867760673331
2010-08-01,37.20057008958,36.667602290429
2010-07-01,36.927883087241,36.298887051561
2010-06-01,36.779916995593,36.556974524736
2010-05-01,35.593787418353,35.885978494933
2010-04-01,35.036058935423,34.962302337058
2010-03-01,34.6690944447,34.726038194197
2010-02-01,34.258568869686,34.529716089583
2010-01-01,34.801952208933,34.513510020361
2009-12-01,33.986489860492,33.751424700983
2009-11-01,33.170739517975,34.017315938291
2009-10-01,32.609581622264,33.415012599411
2009-09-01,34.499310914771,34.037831841663
2009-08-01,34.530559234721,34.03503766586
2009-07-01,36.050174206745,35.667002739021
2009-06-01,34.225594932537,34.114217090078
2009-05-01,33.193280715325,33.363026129245
2009-04-01,34.600273054944,34.474138010101
2009-03-01,33.472771550429,33.350055929336
2009-02-01,33.402302324951,33.68278039243
2009-01-01,34.408357698124,34.209194338396
2008-12-01,34.998662925251,34.645175933492
2008-11-01,34.949981333477,35.831677676728
2008-10-01,34.207808884237,35.064441853468
2008-09-01,36.655757017577,36.21058807391
2008-08-01,37.261608880236,36.749197696392
2008-07-01,36.70352309736,36.509773156732
2008-06-01,37.69026500772,37.675177396878
2008-05-01,38.911996368962,38.974563498323
2008-04-01,40.153081011392,39.973111859094
2008-03-01,41.896449634048,41.502654928123
2008-02-01,41.220788409099,41.626951094324
2008-01-01,42.182214698817,42.02173306886
2007-12-01,42.820180786067,42.210796399239
2007-11-01,40.856834279973,41.911136472423
2007-10-01,41.266570387478,42.246198180618
2007-09-01,43.023769283466,42.611926069985
2007-08-01,43.986291684984,43.495897800643
2007-07-01,42.962881260261,42.914037223186
2007-06-01,43.069396217956,43.135185143344
2007-05-01,43.753407724589,43.596426539735
2007-04-01,43.441486719153,43.26006420339
2007-03-01,43.567732769547,42.973351437983
2007-02-01,42.377794728391,42.798575405672
2007-01-01,42.741221973402,42.61720453208
2006-12-01,44.787074059931,44.098317600893
2006-11-01,43.188289674998,44.34236231739
2006-10-01,44.301648185091,45.25388438875
2006-09-01,45.060374418395,44.838817980288
2006-08-01,45.038260799335,44.651231069555
2006-07-01,44.867405533193,44.837863861666
2006-06-01,44.233933754907,44.227457793031
2006-05-01,44.650804190865,44.278476770125
2006-04-01,44.785435891578,44.700561731541
2006-03-01,45.602881088804,44.898218189022
2006-02-01,43.910020768118,44.397960684227
2006-01-01,43.941498399982,43.864620774207
2005-12-01,44.33279153695,43.631663658524
2005-11-01,42.105013533793,43.250929138879
2005-10-01,41.971550838587,42.762840549308
2005-09-01,41.708963780631,41.646760429466
2005-08-01,40.308235865889,40.083378172863
2005-07-01,41.12540407592,41.040320847866
2005-06-01,41.055830727975,40.897811249364
2005-05-01,40.653950418612,40.140121083406
2005-04-01,41.124198784563,41.181220155336
2005-03-01,42.862173490898,42.225763776668
2005-02-01,43.222584660529,43.759582267593
2005-01-01,42.019477188347,41.943286183327
2004-12-01,41.712131922208,41.11636300483
2004-11-01,39.169206341328,40.250453189395
2004-10-01,39.099826295804,39.797035437442
2004-09-01,40.088043180326,40.129390583929
2004-08-01,39.382574531552,39.206315089739
2004-07-01,39.838268740672,39.588149244509
2004-06-01,41.079287995193,40.76329694673
2004-05-01,41.079092185708,40.468072114419
2004-04-01,39.75233084882,39.901678551602
2004-03-01,39.626755192929,39.127965672134
2004-02-01,39.437491418459,40.035967472884
2004-01-01,39.629821475026,39.525771539452
2003-12-01,39.600450099567,39.059815450874
2003-11-01,39.155114573469,40.266829121296
2003-10-01,39.822303594204,40.575098249877
2003-09-01,40.095952771034,40.141045215391
2003-08-01,41.071171881769,40.897752939224
2003-07-01,41.377350711884,40.954043536423
2003-06-01,41.352470524521,40.914569924341
2003-05-01,40.957565736684,40.286148559982
2003-04-01,40.00503171185,40.216976908335
2003-03-01,37.882144218617,37.504571824849
2003-02-01,39.148309064803,39.800018765023
2003-01-01,40.884979005161,40.7507273273
2002-12-01,42.914961613891,42.395090623174
2002-11-01,42.111526092018,43.352269229158
2002-10-01,41.005364954704,41.826189171686
2002-09-01,41.97772121289,42.023870120177
2002-08-01,42.537365852276,42.304407986467
2002-07-01,42.196272825315,41.607784263831
2002-06-01,41.547499507035,41.04092832731
2002-05-01,41.63004964546,40.929804520403
2002-04-01,39.832431635131,40.063637072078
2002-03-01,39.779215965107,39.481308366811
2002-02-01,37.597942107676,38.272823888742
2002-01-01,36.927558573412,36.819651451598
2001-12-01,43.20066647294,42.701464048841
2001-11-01,41.566706830216,42.794817740107
2001-10-01,41.460837841696,42.297358493992
2001-09-01,44.609951101153,44.661739769344
2001-08-01,47.693092670856,47.383255643425
2001-07-01,46.874404689588,46.135970875441
2001-06-01,44.568245739521,44.014798167545
2001-05-01,45.18616476665,44.444878998218
2001-04-01,46.629247247077,46.9059980963
