"imcp_total.date","imcp_total.values","imcp_nacional.values","imcp_nacional_bienes.values","imcp_nacional_servicios.values","imcp_importado.values"
2019-11-01,120.256782008838,119.080174278944,116.087752909782,122.124111497037,130.870711034067
2019-10-01,121.449277174185,117.823169955722,115.652663334775,120.031042802008,154.159622072314
2019-09-01,114.843046089498,112.431510809629,106.80418407288,118.155714449157,136.596994879785
2019-08-01,118.65249196858,117.456204770985,111.639616320486,123.372928347841,129.443945302147
2019-07-01,119.570280194463,118.708436066561,113.08490825177,124.428775384022,127.344793459972
2019-06-01,116.173348955006,117.035312847009,112.723577615943,121.421276494931,108.397755322912
2019-05-01,117.929718510409,117.608086064506,113.003652535331,122.291786940368,120.831096655639
2019-04-01,113.614421477155,113.077087462099,106.128948535742,120.14484165353,118.461597773671
2019-03-01,113.675566572806,113.856973795551,106.891435881725,120.942426505667,112.039130453988
2019-02-01,110.506904854816,110.617432066219,104.279197823432,117.064781796922,109.509862299868
2019-01-01,121.635532467738,121.694552259018,121.148180284207,122.250330267486,121.103127436046
2018-12-01,117.447829878923,117.844976503645,111.768694315446,124.02586456002,113.865254326935
2018-11-01,120.177932773429,119.021887813728,117.124053298126,120.952394384547,130.6063694057
2018-10-01,119.94348828301,117.362026435975,115.647748039127,119.105816888789,143.230308630722
2018-09-01,113.506658299397,112.242135446893,108.167375999598,116.387043668783,124.91365101775
2018-08-01,119.355881351482,117.75326455881,113.069244696588,122.517921881418,133.812747866885
2018-07-01,117.428877720536,117.584764718665,111.960291795532,123.306065414923,116.022654140617
2018-06-01,116.235370780832,116.462892922273,113.918182422763,119.05141173134,114.18294175154
2018-05-01,117.628947738959,117.342496977547,114.293428498353,120.444056510567,120.21295936288
2018-04-01,113.772223911656,113.453920745997,108.364204642184,118.631258549283,116.643569325237
2018-03-01,113.354333902512,113.194391783267,108.082776154376,118.394006121581,114.797137870796
2018-02-01,108.711188673091,109.180053261675,103.775920591414,114.677220450776,104.481660565092
2018-01-01,119.068125393952,119.652934719579,120.542103915758,118.748458084929,113.792684380105
2017-12-01,117.136466417133,117.050738784387,113.954100163782,120.200687399707,117.909797227688
2017-11-01,117.587226843343,116.77153927147,117.182021631404,116.353990277316,124.945371596822
2017-10-01,116.787984539824,114.912668293661,115.688617593928,114.123360685188,133.704815044094
2017-09-01,111.426107947264,109.962259335458,107.963685519964,111.995239477487,124.631176106034
2017-08-01,115.902806866185,114.582872173532,111.490443139364,117.728538732535,127.809658053552
2017-07-01,113.064509244185,113.235608588157,108.015639662129,118.545441573235,111.521058315692
2017-06-01,114.050632304854,113.513491755778,111.177190526393,115.890013437548,118.89606338576
2017-05-01,113.728661544832,112.974982943203,109.741874626233,116.263750640684,120.527436516548
2017-04-01,108.214219591748,108.85313121427,102.506773904012,115.30874385462,102.450733221099
2017-03-01,112.102564245913,111.398455973288,106.757655563246,116.119149801853,118.454175782915
