"SF43707.date","SF43707.value"
2005-03-23,61363
2005-04-01,61728.3
2005-04-08,60374
2005-04-15,60179.3
2005-04-22,60122.9
2005-04-29,60714.6
2005-05-06,60141.1
2005-05-13,59890.3
2005-05-20,59742.6
2005-05-27,59756.8
2005-06-03,60697
2005-06-10,60244.4
2005-06-17,60377.5
2005-06-24,60654.7
2005-07-01,61633.2
2005-07-08,60597.4
2005-07-15,57332.9
2005-07-22,57460.7
2005-07-29,59330.6
2005-08-05,59381.4
2005-08-12,59281.2
2005-08-19,59174.5
2005-08-26,59300.8
2005-09-02,60946.5
2005-09-09,61173.2
2005-09-15,60965.2
2005-09-23,60946.4
2005-09-30,62836.1
2005-10-07,62755
2005-10-14,62331.2
2005-10-21,62357.7
2005-10-28,62294.4
2005-11-04,64958.7
2005-11-11,65134.1
2005-11-18,65237
2005-11-25,65474.5
2005-12-02,66916.9
2005-12-09,66994.2
2005-12-16,67115.2
2005-12-23,67081.2
2005-12-30,68668.9
2006-01-06,68861.5
2006-01-13,69133.8
2006-01-20,69184
2006-01-27,69608.9
2006-02-03,67251.6
2006-02-10,67142.6
2006-02-17,67271.4
2006-02-24,67273.1
2006-03-03,67351.6
2006-03-10,67240.5
2006-03-17,67513.3
2006-03-24,67546
2006-03-31,67487.1
2006-04-07,67561.3
2006-04-12,68677.7
2006-04-21,69617
2006-04-28,70611.5
2006-05-05,71915.9
2006-05-12,72822
2006-05-19,73386.7
2006-05-26,74574.4
2006-06-02,75755.3
2006-06-09,76049.6
2006-06-16,76718.6
2006-06-23,77306.1
2006-06-30,78742.7
2006-07-07,79101.2
2006-07-14,78190.4
2006-07-21,78033.3
2006-07-28,77597.5
2006-08-04,77692.3
2006-08-11,77911.9
2006-08-18,65639.7
2006-08-25,65857.3
2006-09-01,65888.5
2006-09-08,65549.2
2006-09-15,66220.1
2006-09-22,66951.4
2006-09-29,67302.6
2006-10-06,67597.2
2006-10-13,67470.2
2006-10-20,68244.4
2006-10-27,68754.4
2006-11-03,68570.6
2006-11-10,68595
2006-11-17,68701
2006-11-24,69192.6
