"inpcgeneral.date.sq.","inpcgeneral.values.sq.","inpcsub_total.values.sq.","inpcmerc.values.sq.","inpcserv.values.sq.","inpcnosub.values.sq.","inpcagro.values.sq.","inpcenerg.values.sq."
2010-07-01,72.9695982911368,77.1237727761591,73.0816083552365,80.7358942155734,61.3407301649193,61.7594360527431,61.0515852783437
2010-07-01,72.8892997690238,77.1336378147318,73.1140551302422,80.7236680576783,61.0221678120029,61.0719246410262,60.9622870131383
2010-06-01,72.7815443328986,77.0258809946415,73.1400107210699,80.485824315953,60.9156688104259,60.9362003860055,60.8739871128681
2010-06-01,72.7608221336439,76.9107732607799,73.1236786932063,80.2747731187699,61.1453012455039,61.7012654123159,60.7710134898695
2010-05-01,72.7924234875075,76.8879187607753,73.1463509485016,80.2075662619925,61.321594295996,62.3935539255437,60.6267960313578
2010-05-01,72.7950137624144,76.8370808272484,73.1514551633762,80.1023279661519,61.4653047001624,62.9030056750883,60.5433173438213
2010-04-01,73.1887355482571,76.7138121486414,73.0188768488674,79.9886838070995,63.2233169860864,64.0291532842952,62.6928747860387
2010-04-01,73.3223937334508,76.6535648699313,72.9299715257075,79.9566790885356,63.8678310643306,65.7470641453111,62.6705166718059
2010-03-01,73.5487837603101,76.6760328680495,72.8228020876646,80.1056252726932,64.6325066438134,66.3630123291117,63.5271869362756
2010-03-01,73.4306672245575,76.526244370179,72.76127462669,79.8703100954661,64.5990880270276,66.4575492960817,63.4143253620699
2010-02-01,73.096521761573,76.3963466836379,72.6767433253125,79.6966810048124,63.7281992742433,64.6150626910589,63.1472004456959
2010-02-01,72.846819260552,76.2702132943449,72.5795211813936,79.5428663831541,63.1532670151003,63.6576983538262,62.8100268245802
2010-01-01,72.7141971853206,76.1439150302042,72.4164350033188,79.4530350767149,63.0047192534445,64.0464887872668,62.3278692648531
2010-01-01,72.3898947669819,75.8945288686328,72.2190769363436,79.1539314977921,62.4853624543243,63.0851851886006,62.0832026116801
2009-12-01,71.8521536963181,75.5233534821336,71.7269149603537,78.9024954533919,61.5108544939713,62.1611480029954,61.077815768268
2009-12-01,71.6910385971114,75.3811457555161,71.5502324902363,78.7945651643104,61.302544765995,61.8184250769467,60.9530739047287
2009-11-01,71.50920129865,75.1204803517209,71.3971000484033,78.4300373223565,61.3297591697482,62.1071583300368,60.8178754230779
2009-11-01,71.4434083160158,75.085323683692,71.3771858198323,78.3801507263552,61.1832778960285,61.73573541373,60.8111496889959
2009-10-01,71.0698906744471,75.0206984515878,71.2900242691914,78.3378099038209,59.9960012850192,62.0090926175181,58.7174015016899
2009-10-01,71.1444905917648,74.9693994169165,71.2133019421846,78.3115562567552,60.4024349623943,63.1092856716033,58.6928261804717
2009-09-01,70.8989325305945,74.8032866104483,71.0617455142635,78.13195148811,59.9495911825833,63.8554727906298,57.4956141704071
2009-09-01,70.8864992110411,74.7039061562638,70.9227794168192,78.0716528704213,60.1674181342637,64.4334857005282,57.489666655278
2009-08-01,70.6083036860448,74.4793491677215,70.7412167312151,77.8060911830044,59.7489215718152,63.322997548316,57.5010870469249
2009-08-01,70.4694649510375,74.4390770222411,70.6881999567418,77.7784373704203,59.3504256945623,62.2751234812137,57.506036231952
2009-07-01,70.3917567038313,74.3771783841138,70.5379658056052,77.8030564608145,59.2332624962149,62.5933416269476,57.1185622686409
2009-07-01,70.348758140378,74.3125211889491,70.4569700389456,77.7546324453905,59.2470461815329,62.6595166422925,57.099805041647
2009-06-01,70.2078471854446,74.1581639269587,70.3513203726696,77.5533875910156,59.1425001643336,62.4003818230701,57.0913064060736
2009-06-01,70.150861137494,74.0776236421833,70.3189634331069,77.426151352957,59.1481817856238,62.442683092073,57.0742449821076
2009-05-01,70.0565751308838,73.9731685834369,70.1544684054129,77.3807713800184,59.0822137474889,62.2581211909109,57.0819535926067
2009-05-01,70.0446598663126,73.8899562460139,70.0466003357626,77.3219934432649,59.2591468354276,62.8407472407946,57.0068723516753
2009-04-01,70.2855554326507,73.8268640469953,69.8125689737601,77.4260768653944,60.3019126702793,62.6034731082921,58.8440318600275
2009-04-01,70.2244249448487,73.7427383789577,69.6295348151542,77.4388886149166,60.3028274124072,62.5344592598051,58.8883710571775
2009-03-01,70.124440333444,73.5735026080091,69.3637943297995,77.3646124788048,60.387344980592,61.2242159750928,59.838977739762
