"total.date","total.values","pub.values","priv.values","edif.values","agua.values","elec.values","trans.values","petr.values","otras.values"
2017-04-01,89.05776402,73.83133631,109.38892161,118.72661251,78.67167455,118.64348034,77.69990783,29.06645057,112.63866112
2017-03-01,89.85337666,78.59418188,105.51255519,118.29858775,87.38945907,129.14485918,89.482116,31.61328399,77.60369206
2017-02-01,92.18931714,78.57419274,108.30094032,118.09160081,74.13944169,148.25616841,83.39553317,38.42243551,77.32294193
2017-01-01,89.50352643,81.56385382,98.50683036,115.71067817,80.79341388,119.76967297,90.54695648,48.66198844,69.15281812
2016-12-01,110.36529014,103.69690359,114.90762161,133.84806315,115.71890861,156.62752552,95.94466174,58.70167805,98.73421213
2016-11-01,103.61992781,99.89177158,110.83620646,126.66582556,87.8386715,142.16141133,80.34493522,64.02992758,97.86446318
2016-10-01,99.7897694,87.41544432,112.66964931,118.67963177,79.3655178,136.01558937,81.00192647,56.8327435,104.24196405
2016-09-01,95.98378637,83.12688013,110.14807026,107.37800248,64.77603541,147.33863893,85.60462643,55.39952401,111.69579702
2016-08-01,94.2907117,81.2567975,104.59213794,108.70457875,63.29218952,150.82986179,78.12068307,52.2875824,110.47375186
2016-07-01,92.24268659,80.60630839,100.73444074,108.38322416,63.37698821,149.5387252,74.13718272,58.72784277,88.16371908
2016-06-01,93.12585758,87.79097782,96.96698045,103.46363298,69.53251861,160.29709617,82.37898868,60.27206637,95.35233091
2016-05-01,93.52572052,87.43938111,98.65877256,101.93236117,71.10466995,148.24565971,81.42821333,63.23747525,96.36024245
2016-04-01,89.38922321,82.96956568,93.83350929,101.24151648,64.24594326,175.84733164,84.19257429,48.14977287,96.41991468
2016-03-01,92.28903366,85.69146303,96.988563,107.52908086,72.48042865,144.33908106,92.83996345,61.38508423,90.46945621
2016-02-01,93.20021183,82.96182435,96.82241113,100.51188249,74.28897144,135.06865171,86.67998955,65.54743623,81.69920831
2016-01-01,89.88267539,79.48604599,89.36129024,94.1466104,67.89954716,117.22488491,81.915354,75.77548369,74.31167868
2015-12-01,110.17754524,109.30590971,106.86029665,108.584339,104.24670523,160.88910706,106.67192188,96.25853251,105.08496322
2015-11-01,105.12836872,95.80856914,100.7668229,102.43454058,78.13875411,144.68489527,93.58832329,84.57647977,97.2575938
2015-10-01,103.59966452,96.27143649,103.67853243,104.16090517,73.26766248,134.14422264,94.28576593,87.65325449,103.73155106
2015-09-01,106.10487366,97.15102124,102.36191783,106.20551033,74.73445703,120.87917391,98.35830158,85.98331463,102.84726825
2015-08-01,100.70344333,92.15907706,99.0002075,102.68355055,56.96896842,135.48745712,94.07754882,90.72091035,94.85806287
2015-07-01,101.56009025,95.72465654,97.47478777,103.698194,62.02615292,155.66958723,87.28179485,97.49257689,111.26760638
2015-06-01,97.81144035,90.67773248,99.10244951,99.01765389,68.77867458,107.59642568,93.01280643,86.85964453,104.70770133
2015-05-01,96.05033938,86.281676,100.48549107,106.29129267,62.94809062,120.77146358,82.26699239,78.96563406,93.77909937
2015-04-01,92.21627162,84.83309849,99.98871331,90.65729235,70.72362772,107.74078841,79.65007537,80.99868054,96.17520828
2015-03-01,95.8441371,82.49725115,107.86892424,107.99425454,77.05397919,96.6633045,75.5484867,81.78745775,100.13785684
2015-02-01,93.49707128,87.01149508,96.16379806,91.28746168,74.22939308,112.76531038,85.09336325,75.8203762,90.93665137
2015-01-01,92.47138617,89.66235351,91.53240976,87.73902916,84.41149131,112.57005554,93.68235992,75.28277881,95.49049625
2014-12-01,113.4669948,104.95108923,126.09085754,169.1829178,118.04019226,126.1639886,108.08913707,79.1294305,104.55080415
2014-11-01,111.54512202,98.84964269,119.02248352,149.91680982,116.58005712,127.56986651,106.22201797,77.72304484,99.06143763
2014-10-01,107.32274025,95.49170405,122.99737915,142.17106964,109.58247488,116.06810103,103.84556135,77.69611958,117.80689867
2014-09-01,102.47751303,93.84975193,109.37951534,117.1084532,113.48079118,134.8396417,100.16051265,71.93509529,128.18925157
