"igae..1...date.sq.","igae..1...values.sq.","igae..2...values.sq.","igae..3...values.sq.","igae..4...values.sq.","igae..5...values.sq.","igae..6...values.sq.","igae..7...values.sq.","igae..8...values.sq.","igae..9...values.sq.","igae..10...values.sq.","igae..11...values.sq.","igae..12...values.sq.","igae..13...values.sq.","igae..14...values.sq.","igae..15...values.sq.","igae..16...values.sq.","igae..17...values.sq."
2012-08-01,98.69801985709,99.479815375349,100.286457427081,100.629146698117,99.269594059178,102.268936343016,98.946675521087,97.843602982766,98.773438572039,95.151634732396,96.18120661504,96.903188874985,100.061908422913,100.005264177025,97.710947842058,99.800523778389,100.445448375193
2012-07-01,99.167009913474,96.545364437635,102.018027209497,100.735444579987,99.9087150552,105.8594753296,100.118950229088,97.866804529578,99.958108041121,95.744174481746,97.157890987557,95.975746980336,97.039449115322,98.603961740068,97.515121529627,99.393561685508,102.800263622901
2012-06-01,98.663530643536,99.60680407511,100.511772719434,100.698120792261,100.034732574925,101.281511113151,100.388154566757,97.546472962457,98.463344805196,95.279399745775,98.119692419859,95.522783508019,97.136928726929,99.257859663114,97.449179510654,99.885198952921,102.788602782394
2012-05-01,97.797090373137,92.348616745052,100.10852472718,100.57668348666,99.693296929404,101.510438391839,99.261759062924,97.006585382613,98.890871488751,96.140024382923,95.694423221654,95.24800432014,96.3240620587,98.999671189964,96.803353889046,97.258620981936,103.494218606817
2012-04-01,98.31875128587,92.975829022223,100.23095819189,100.097490272751,99.161978395336,101.644515088779,99.803720688488,97.558764991712,98.371179255712,99.241884527773,96.186595918276,95.001736861463,94.510450358572,98.825891823246,96.688362193174,99.104443449969,102.986344736165
2012-03-01,97.897196371828,105.249903762057,99.586991842711,100.194488585495,98.633999002578,99.582974862243,99.319148901665,96.858753714599,98.570051903476,98.049941062572,95.695816971889,94.84103057999,93.712546637972,98.665339781724,95.648531143594,97.847057359187,102.66227503364
2012-02-01,97.556453971539,93.525350764034,99.288641092461,99.8880622045,98.831654562639,100.215711931,99.109064271276,96.64418297626,98.050735174015,97.685773760557,95.475562422856,94.943047653405,94.118017375837,98.771744493722,95.576219974251,97.459931444827,101.731922270972
2012-01-01,97.328305635651,92.924108046183,99.149281738263,98.195117195877,97.693192440591,101.803584606546,99.054856317035,96.582372616189,98.485639330315,97.917947319071,95.405402355501,94.743336298711,93.235563734362,99.417543926774,95.620313101487,95.280485880209,100.238392762894
2011-12-01,96.797959080741,91.17438192141,100.187488849126,100.513491252138,99.95518156723,102.633170056781,98.313203333626,95.402538580108,95.605377671591,95.689351448718,94.090547088453,96.676494264726,93.198542082728,97.43686623856,94.74422301321,96.059038531209,99.726624912856
2011-11-01,97.127633247584,94.124786417002,99.891541457475,100.783516194368,97.426694601966,103.31618854906,98.265860075249,95.775259006087,96.89194675916,96.817521964887,92.819035528523,93.847047128444,96.024202815166,98.312665651386,94.656174953821,95.050387034542,100.003939101883
