"date","MRTSSM44X72USS","MRTSSM44Y72USS","MRTSSM441USS","MRTSSM441XUSS","MRTSSM4413USS"
2012-11-01,407396,331558,75838,68866,6972
2012-12-01,409026,332159,76867,69889,6978
2013-01-01,412155,334456,77699,70706,6993
2013-02-01,417159,338338,78821,71716,7105
2013-03-01,414092,336182,77910,70898,7012
2013-04-01,412237,333848,78389,71405,6984
2013-05-01,414309,334591,79718,72622,7096
2013-06-01,415742,334425,81317,74281,7036
2013-07-01,418604,336889,81715,74630,7085
2013-08-01,417644,336272,81372,74211,7161
2013-09-01,417849,337653,80196,73063,7133
2013-10-01,419599,338108,81491,74215,7276
2013-11-01,420658,338836,81822,74488,7334
2013-12-01,423362,341898,81464,74089,7375
2014-01-01,418947,339912,79035,71798,7237
2014-02-01,425005,343436,81569,74250,7319
2014-03-01,429658,345152,84506,77184,7322
2014-04-01,433826,348010,85816,78506,7310
2014-05-01,434640,348656,85984,78783,7201
2014-06-01,435816,349588,86228,79112,7116
2014-07-01,436442,349853,86589,79475,7114
2014-08-01,439680,352463,87217,80027,7190
2014-09-01,438842,352332,86510,79333,7177
2014-10-01,440164,353409,86755,79563,7192
2014-11-01,441536,353721,87815,80225,7590
2014-12-01,439077,351611,87466,80308,7158
2015-01-01,436482,347963,88519,81226,7293
2015-02-01,435847,348562,87285,79893,7392
2015-03-01,442487,351347,91140,83687,7453
2015-04-01,443095,351403,91692,84131,7561
2015-05-01,446529,354216,92313,84717,7596
2015-06-01,447343,354938,92405,84717,7688
2015-07-01,450350,357855,92495,84764,7731
2015-08-01,450521,357320,93201,85573,7628
2015-09-01,448635,355035,93600,86017,7583
2015-10-01,447262,354371,92891,85294,7597
2015-11-01,449121,355197,93924,86196,7728
2015-12-01,450792,357320,93472,85820,7652
2016-01-01,447794,354701,93093,85323,7770
2016-02-01,452342,356770,95572,87827,7745
2016-03-01,450830,357273,93557,85900,7657
2016-04-01,452430,358691,93739,86189,7550
2016-05-01,454443,360322,94121,86501,7620
2016-06-01,459052,364300,94752,87032,7720
2016-07-01,458060,362118,95942,88348,7594
2016-08-01,458771,362435,96336,88653,7683
2016-09-01,461324,364147,97177,89547,7630
2016-10-01,462770,365738,97032,89332,7700
2016-11-01,462407,365795,96612,89015,7597
2016-12-01,468061,368617,99444,91265,8179
2017-01-01,473484,374064,99420,91642,7778
2017-02-01,472995,374178,98817,91140,7677
2017-03-01,471999,375294,96705,88940,7765
2017-04-01,474363,376910,97453,89632,7821
2017-05-01,472010,374147,97863,90104,7759
2017-06-01,473768,375072,98696,90984,7712
2017-07-01,473959,375038,98921,91131,7790
2017-08-01,474703,378044,96659,88962,7697
2017-09-01,484385,383436,100949,93074,7875
2017-10-01,485059,383559,101500,93751,7749
2017-11-01,490007,389394,100613,92726,7887
2017-12-01,492401,392021,100380,92247,8133
2018-01-01,491492,391213,100279,92469,7810
2018-02-01,493759,393942,99817,91992,7825
2018-03-01,493373,393244,100129,92303,7826
2018-04-01,495025,394562,100463,92621,7842
2018-05-01,500719,399841,100878,92953,7925
2018-06-01,499631,399038,100593,92689,7904
2018-07-01,502962,401779,101183,93196,7987
2018-08-01,501913,402204,99709,91782,7927
2018-09-01,500362,400948,99414,91396,8018
2018-10-01,506010,406131,99879,91873,8006
2018-11-01,506973,406277,100696,92728,7968
2018-12-01,496593,394822,101771,93824,7947
2019-01-01,502724,403119,99605,91828,7777
2019-02-01,502627,402274,100353,92351,8002
2019-03-01,510320,407080,103240,95081,8159
2019-04-01,512326,410137,102189,94055,8134
2019-05-01,513870,411251,102619,94517,8102
2019-06-01,515911,412955,102956,94886,8070
2019-07-01,519447,415767,103680,95634,8046
2019-08-01,521833,416233,105600,97409,8191
2019-09-01,518605,414893,103712,95681,8031
2019-10-01,521114,417017,104097,95987,8110
2019-11-01,522805,416225,106580,98421,8159
2019-12-01,523862,419039,104823,96717,8106
2020-01-01,526930,421768,105162,97095,8067
2020-02-01,525810,420290,105520,97614,7906
2020-03-01,480407,402361,78046,70865,7181
2020-04-01,409819,341621,68198,61388,6810
2020-05-01,484295,383353,100942,92558,8384
2020-06-01,526187,415613,110574,101687,8887
2020-07-01,533517,424069,109448,100831,8617
2020-08-01,537980,428168,109812,101093,8719
2020-09-01,549211,434837,114374,105827,8547
2020-10-01,548676,435165,113511,105212,8299
2020-11-01,542583,430381,112202,103930,8272
2020-12-01,535972,421525,114447,106170,8277
2021-01-01,576466,456387,120079,111475,8604
2021-02-01,559970,444228,115742,107294,8448
2021-03-01,623119,487687,135432,125883,9549
2021-04-01,628751,487364,141387,131730,9657
2021-05-01,620119,485272,134847,125454,9393
2021-06-01,625405,493387,132018,122755,9263
2021-07-01,615250,488908,126342,117040,9302
2021-08-01,622383,499439,122944,113501,9443
2021-09-01,627536,503140,124396,115011,9385
