"des_tot.date","des_tot.values","des_h.values","des_m.values"
2008-07-01,4.13338526,3.93260823,4.47407557
2008-06-01,3.36795461,3.16930521,3.69715816
2008-05-01,3.29491468,3.14897201,3.54073096
2008-04-01,3.47955511,3.23652746,3.88365191
2008-03-01,3.61456657,3.41080553,3.95153179
2008-02-01,3.88859328,3.73651543,4.14101719
2008-01-01,4.11706185,4.09079181,4.16118985
2007-12-01,3.10613687,3.1111505,3.0979179
2007-11-01,3.35402533,3.06334134,3.84008046
2007-10-01,3.77112469,3.64541706,3.97434688
2007-09-01,3.76169547,3.41959815,4.3274144
2007-08-01,3.8310352,3.444387,4.48936971
2007-07-01,3.79006856,3.56751327,4.15768702
2007-06-01,3.28199333,3.11074945,3.5627922
2007-05-01,3.15085674,3.00438134,3.40384002
2007-04-01,3.51300819,3.30588517,3.85621189
2007-03-01,3.72676021,3.46860462,4.15646902
2007-02-01,4.05167076,3.80529543,4.4765419
2007-01-01,4.04674987,3.84542515,4.37811764
2006-12-01,3.31665699,3.32467478,3.30305843
2006-11-01,3.50289521,3.34118022,3.77745912
2006-10-01,3.81798355,3.50787306,4.3212569
2006-09-01,3.99579567,3.84441177,4.24800321
2006-08-01,3.87206043,3.57928956,4.37388256
2006-07-01,4.00741845,3.4435004,4.9270835
2006-06-01,3.25883338,3.12832964,3.48104363
2006-05-01,2.83926121,2.65896848,3.14797544
2006-04-01,3.19501793,2.90873064,3.67215284
2006-03-01,3.31182028,3.18696364,3.52452188
2006-02-01,3.74522836,3.68903095,3.84126945
2006-01-01,3.47786875,3.42746683,3.56272003
2005-12-01,2.77001059,2.73214546,2.83559144
2005-11-01,2.93981529,2.80650579,3.16825208
2005-10-01,3.38599539,3.10062723,3.8556905
2005-09-01,3.578426,3.45243858,3.79025115
2005-08-01,3.67007975,3.31332993,4.29229779
2005-07-01,3.9233627,3.46592825,4.70381091
2005-06-01,3.4821565,3.49635034,3.45810102
2005-05-01,3.30369265,3.28142368,3.34207531
2005-04-01,3.36341228,3.0972265,3.82997123
2005-03-01,3.62707537,3.31920384,4.16972003
2005-02-01,3.77330244,3.45604189,4.34004348
2005-01-01,3.95199787,3.73538077,4.34233757
